French,English
partie,part
histoire,history
police,police
aide,help
laisser,let
mettre,to put
aucun,no
laisse,leash
arrivé,come
pendant,while
aucune,any
parle,speak
savais,knew
attention,Warning
pourrais,could
affaire,case
donné,given
train,train
endroit,place
yeux,eyes
écoute,listen
trouve,find
premier,first
perdu,lost
main,hand
première,first
côté,side
sois,be
tiens,here
matin,morning
enfant,child
venu,came
pardon,sorry
venez,come
devant,in front of
vers,towards
demandé,request
chambre,bedroom
mis,placed
belle,beautiful
aujourd'hui,today
parti,left
arrêter,Stop
terre,Earth
compte,account
loin,far
fin,end
croire,believe
chérie,sweetheart
gros,large
plutôt,rather
aura,will have
filles,girls
bureau,office
